year	division_id	ranking_id	conference_key
2017	1	18370	America East
2017	1	18370	Atlantic Coast
2017	1	18370	Big East
2017	1	18370	Big Ten
2017	1	18370	Colonial
2017	1	18370	Independent
2017	1	18370	Ivy League
2017	1	18370	Metro Atlantic
2017	1	18370	Northeast
2017	1	18370	Patriot
2017	1	18370	Southern
2016	1	15432	America East
2016	1	15432	Atlantic Coast
2016	1	15432	Big East
2016	1	15432	Big Ten
2016	1	15432	Colonial
2016	1	15432	Independent
2016	1	15432	Ivy League
2016	1	15432	Metro Atlantic
2016	1	15432	Northeast
2016	1	15432	Patriot
2016	1	15432	Southern
2015	1	12941	America East
2015	1	12941	Atlantic Coast
2015	1	12941	Big East
2015	1	12941	Big Ten
2015	1	12941	Colonial
2015	1	12941	Independent
2015	1	12941	Ivy League
2015	1	12941	Metro Atlantic
2015	1	12941	Northeast
2015	1	12941	Patriot
2015	1	12941	Southern
2014	1	12965	ASUN
2014	1	12965	America East
2014	1	12965	Atlantic Coast
2014	1	12965	Big East
2014	1	12965	Colonial
2014	1	12965	ECAC
2014	1	12965	Independent
2014	1	12965	Ivy League
2014	1	12965	Metro Atlantic
2014	1	12965	Northeast
2014	1	12965	Patriot
2013	1	10554	AAC
2013	1	10554	America East
2013	1	10554	Atlantic Coast
2013	1	10554	Colonial
2013	1	10554	ECAC
2013	1	10554	Independent
2013	1	10554	Ivy League
2013	1	10554	Metro Atlantic
2013	1	10554	Northeast
2013	1	10554	Patriot
2012	1	8852	AAC
2012	1	8852	America East
2012	1	8852	Atlantic Coast
2012	1	8852	Colonial
2012	1	8852	ECAC
2012	1	8852	Independent
2012	1	8852	Ivy League
2012	1	8852	Metro Atlantic
2012	1	8852	Northeast
2012	1	8852	Patriot
2011	1	7969	AAC
2011	1	7969	America East
2011	1	7969	Atlantic Coast
2011	1	7969	Colonial
2011	1	7969	ECAC
2011	1	7969	Ivy League
2011	1	7969	Metro Atlantic
2011	1	7969	Northeast
2011	1	7969	Patriot
2010	1	7264	AAC
2010	1	7264	America East
2010	1	7264	Atlantic Coast
2010	1	7264	Colonial
2010	1	7264	ECAC
2010	1	7264	Ivy League
2010	1	7264	Metro Atlantic
2010	1	7264	Patriot
2009	1	6455	America East
2009	1	6455	Atlantic Coast
2009	1	6455	Colonial
2009	1	6455	ECAC
2009	1	6455	Great Lakes Football Conference
2009	1	6455	Great Western
2009	1	6455	Ivy League
2009	1	6455	Metro Atlantic
2009	1	6455	Patriot
2008	1	5731	America East
2008	1	5731	Atlantic Coast
2008	1	5731	Colonial
2008	1	5731	ECAC
2008	1	5731	Great Lakes Football Conference
2008	1	5731	Great Western
2008	1	5731	Ivy League
2008	1	5731	Metro Atlantic
2008	1	5731	Patriot
2007	1	3637	America East
2007	1	3637	Atlantic Coast
2007	1	3637	Colonial
2007	1	3637	ECAC
2007	1	3637	Great Lakes Football Conference
2007	1	3637	Great Western
2007	1	3637	Ivy League
2007	1	3637	Metro Atlantic
2007	1	3637	Patriot
2006	1	3670	America East
2006	1	3670	Atlantic Coast
2006	1	3670	Colonial
2006	1	3670	ECAC
2006	1	3670	Great Lakes Football Conference
2006	1	3670	Great Western
2006	1	3670	Ivy League
2006	1	3670	Metro Atlantic
2006	1	3670	Patriot
2005	1	3723	America East
2005	1	3723	Atlantic Coast
2005	1	3723	Colonial
2005	1	3723	ECAC
2005	1	3723	Great Lakes Football Conference
2005	1	3723	Great Western
2005	1	3723	Ivy League
2005	1	3723	Metro Atlantic
2005	1	3723	Patriot
2004	1	3766	America East
2004	1	3766	Atlantic Coast
2004	1	3766	Colonial
2004	1	3766	ECAC
2004	1	3766	Great Western
2004	1	3766	Independent
2004	1	3766	Ivy League
2004	1	3766	Metro Atlantic
2004	1	3766	Patriot
2003	1	3799	America East
2003	1	3799	Atlantic Coast
2003	1	3799	Colonial
2003	1	3799	ECAC
2003	1	3799	Great Western
2003	1	3799	Independent
2003	1	3799	Ivy League
2003	1	3799	Metro Atlantic
