date,site,home,div,score,away,div,score
2015-05-09,home,Adelphi,2,11.61,Stonehill,2,5.72
2015-05-08,neutral,Albany (NY),1,9.13,Penn,1,7.36
2015-05-10,home,Augustana (IL),3,15.39,Concordia Wisconsin,3,5.58
2015-05-09,neutral,Bridgewater St.,3,9.89,St. Joseph's (ME),3,13.24
2015-05-08,neutral,Bryant,1,6.71,Loyola Maryland,1,15.16
2015-05-09,neutral,Cabrini,3,7.95,FDU-Florham,3,10.08
2015-05-09,neutral,Castleton,3,13.25,Morrisville St.,3,7.34
2015-05-10,home,Catholic,3,17.36,Western New Eng.,3,9.73
2015-05-08,neutral,Fairfield,1,7.42,Princeton,1,10.67
2015-05-08,neutral,Florida,1,14.84,Stanford,1,11.38
2015-05-10,home,Fredonia,3,11.43,Denison,3,8.45
2015-05-08,neutral,Jacksonville,1,6.97,Massachusetts,1,9.63
2015-05-08,neutral,James Madison,1,11.61,Southern California,1,10.02
2015-05-08,neutral,Johns Hopkins,1,9.02,Penn St.,1,10.10
2015-05-09,neutral,Keene St.,3,8.84,St. Joseph's (L.I.),3,11.98
2015-05-09,home,Le Moyne,2,11.01,New Haven,2,8.58
2015-05-09,home,Lindenwood (MO),2,11.53,Fla. Southern,2,8.68
2015-05-09,home,Lock Haven,2,12.35,Rollins,2,6.36
2015-05-09,neutral,Meredith,3,9.08,Rhodes,3,11.89
2015-05-10,home,Messiah,3,9.73,Tufts,3,8.03
2015-05-09,neutral,MIT,3,16.43,Regis (MA),3,6.78
2015-05-10,home,Mount Union,3,15.03,Albion,3,6.24
2015-05-08,home,Northwestern,1,11.60,Louisville,1,10.04
2015-05-08,neutral,Notre Dame,1,10.83,Ohio St.,1,10.09
2015-05-10,home,Pomona-Pitzer,3,9.98,Occidental,3,8.06
2015-05-10,home,Salisbury,3,8.13,Hamilton,3,5.07
2015-05-10,home,TCNJ,3,9.73,St. John Fisher,3,6.07
2015-05-08,home,Virginia,1,14.95,Winthrop,1,7.99
2015-05-10,home,Wash. & Lee,3,13.28,Sewanee,3,7.89
2015-05-10,home,York (PA),3,9.20,Union (NY),3,8.22
