BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2002 |   1 |   1 |  548 |  548 |    0 |  1096
 2002 |   1 |   2 |   12 |    6 |    0 |    18
 2002 |   1 |   3 |    4 |    2 |    0 |     6
 2002 |   2 |   2 |  149 |  149 |    0 |   298
 2002 |   2 |   3 |   31 |   15 |    0 |    46
 2002 |   3 |   3 |  834 |  834 |    0 |  1668
 2003 |   1 |   1 |  599 |  599 |    0 |  1198
 2003 |   1 |   2 |   13 |    8 |    0 |    21
 2003 |   1 |   3 |    3 |    2 |    0 |     5
 2003 |   2 |   2 |  147 |  147 |    0 |   294
 2003 |   2 |   3 |   21 |   12 |    0 |    33
 2003 |   3 |   3 |  827 |  827 |    0 |  1654
 2004 |   1 |   1 |  608 |  608 |    0 |  1216
 2004 |   1 |   2 |   12 |   18 |    0 |    30
 2004 |   1 |   3 |    7 |    1 |    0 |     8
 2004 |   2 |   2 |  189 |  189 |    0 |   378
 2004 |   2 |   3 |   16 |   14 |    0 |    30
 2004 |   3 |   3 |  998 |  998 |    0 |  1996
 2005 |   1 |   1 |  657 |  657 |    0 |  1314
 2005 |   1 |   2 |    7 |    2 |    0 |     9
 2005 |   1 |   3 |    4 |    2 |    0 |     6
 2005 |   2 |   2 |  212 |  212 |    0 |   424
 2005 |   2 |   3 |   21 |   18 |    0 |    39
 2005 |   3 |   3 | 1008 | 1008 |    0 |  2016
 2006 |   1 |   1 |  701 |  701 |    0 |  1402
 2006 |   1 |   2 |    3 |    3 |    0 |     6
 2006 |   1 |   3 |    2 |    1 |    0 |     3
 2006 |   2 |   2 |  243 |  243 |    2 |   488
 2006 |   2 |   3 |   17 |    8 |    0 |    25
 2006 |   3 |   3 | 1134 | 1134 |    0 |  2268
 2007 |   1 |   1 |  681 |  681 |    0 |  1362
 2007 |   1 |   2 |    2 |    2 |    0 |     4
 2007 |   2 |   2 |  270 |  270 |    0 |   540
 2007 |   2 |   3 |   18 |   16 |    0 |    34
 2007 |   3 |   3 | 1125 | 1125 |    0 |  2250
 2008 |   1 |   1 |  717 |  717 |    0 |  1434
 2008 |   1 |   2 |    4 |    3 |    0 |     7
 2008 |   1 |   3 |    2 |    0 |    0 |     2
 2008 |   2 |   2 |  312 |  312 |    0 |   624
 2008 |   2 |   3 |   14 |   19 |    0 |    33
 2008 |   3 |   3 | 1276 | 1276 |    0 |  2552
 2009 |   1 |   1 |  748 |  748 |    0 |  1496
 2009 |   1 |   2 |    1 |    3 |    0 |     4
 2009 |   1 |   3 |    1 |    4 |    0 |     5
 2009 |   2 |   2 |  338 |  338 |    0 |   676
 2009 |   2 |   3 |    8 |   14 |    0 |    22
 2009 |   3 |   3 | 1334 | 1334 |    0 |  2668
 2010 |   1 |   1 |  775 |  775 |    0 |  1550
 2010 |   1 |   2 |    1 |    1 |    0 |     2
 2010 |   1 |   3 |    3 |    4 |    0 |     7
 2010 |   2 |   2 |  382 |  382 |    0 |   764
 2010 |   2 |   3 |    7 |   18 |    0 |    25
 2010 |   3 |   3 | 1468 | 1468 |    2 |  2938
 2011 |   1 |   1 |  781 |  781 |    0 |  1562
 2011 |   1 |   2 |    3 |    2 |    1 |     6
 2011 |   1 |   3 |    2 |    0 |    0 |     2
 2011 |   2 |   2 |  431 |  431 |    0 |   862
 2011 |   2 |   3 |   12 |   12 |    0 |    24
 2011 |   3 |   3 | 1545 | 1545 |    2 |  3092
 2012 |   1 |   1 |  786 |  786 |    0 |  1572
 2012 |   1 |   2 |    4 |    1 |    0 |     5
 2012 |   1 |   3 |    0 |    1 |    0 |     1
 2012 |   2 |   2 |  504 |  504 |    0 |  1008
 2012 |   2 |   3 |   17 |   22 |    0 |    39
 2012 |   3 |   3 | 1670 | 1670 |    2 |  3342
 2013 |   1 |   1 |  862 |  862 |    0 |  1724
 2013 |   1 |   2 |    0 |    1 |    0 |     1
 2013 |   2 |   2 |  577 |  577 |    0 |  1154
 2013 |   2 |   3 |   12 |   16 |    1 |    29
 2013 |   3 |   3 | 1836 | 1836 |    0 |  3672
 2014 |   1 |   1 |  896 |  896 |    0 |  1792
 2014 |   1 |   2 |    2 |    3 |    0 |     5
 2014 |   2 |   2 |  647 |  647 |    0 |  1294
 2014 |   2 |   3 |   20 |   12 |    0 |    32
 2014 |   3 |   3 | 1917 | 1917 |    0 |  3834
 2015 |   1 |   1 |  915 |  915 |    0 |  1830
 2015 |   1 |   2 |    1 |    1 |    0 |     2
 2015 |   2 |   2 |  700 |  700 |    0 |  1400
 2015 |   2 |   3 |    9 |   12 |    0 |    21
 2015 |   3 |   3 | 2042 | 2042 |    0 |  4084
(80 rows)

COMMIT
