3,Adelphi,8,"Cropsey, Kyle",,Fr
3,Adelphi,5,"Cureton, Rashad",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445566.0,Sr
3,Adelphi,38,"Dillon, Paul",,Fr
3,Adelphi,36,"Doran, Nick",,Fr
3,Adelphi,48,"Engelke, Christopher",/player?game_sport_year_ctl_id=11380&stats_player_seq=1439421.0,Sr
3,Adelphi,34,"FeliceJennings, Tyler",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445581.0,Sr
3,Adelphi,3,"Fiore, Andrew",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445565.0,Jr
3,Adelphi,32,"Giardina, Joe",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445580.0,Fr
3,Adelphi,42,"Hadnagy, Keith",,Jr
3,Adelphi,22,"Hopper, Ikerson",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445574.0,Jr
3,Adelphi,35,"Janssen, Eric",/player?game_sport_year_ctl_id=11380&stats_player_seq=1417802.0,Sr
3,Adelphi,2,"Kennedy, Kevin",/player?game_sport_year_ctl_id=11380&stats_player_seq=1097768.0,Sr
3,Adelphi,26,"Maroney, James",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303350.0,Sr
3,Adelphi,14,"Marx, Wayne",/player?game_sport_year_ctl_id=11380&stats_player_seq=1193243.0,Jr
3,Adelphi,31,"Massaro, Nicholas",/player?game_sport_year_ctl_id=11380&stats_player_seq=1193244.0,Jr
3,Adelphi,27,"McAndrew, Jamie",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303351.0,So
3,Adelphi,39,"McDermott, Keith",/player?game_sport_year_ctl_id=11380&stats_player_seq=1193245.0,Jr
3,Adelphi,0,"McGrath, John",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303352.0,So
3,Adelphi,44,"Melsopp, Jeff",/player?game_sport_year_ctl_id=11380&stats_player_seq=1097772.0,Sr
3,Adelphi,52,"Moriarty, Daniel",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445568.0,Sr
3,Adelphi,25,"Moritt, Bryan",,Fr
3,Adelphi,1,"Olson, Nick",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303354.0,So
3,Adelphi,50,"Oswald, Matt",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303355.0,So
3,Adelphi,43,"Prendergast, Brian",/player?game_sport_year_ctl_id=11380&stats_player_seq=1446858.0,So
3,Adelphi,28,"Puskuldjian, Greg",/player?game_sport_year_ctl_id=11380&stats_player_seq=1193248.0,Jr
3,Adelphi,7,"Rainone, Anthony",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445570.0,Fr
3,Adelphi,10,"Rossi, Robert",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445571.0,Fr
3,Adelphi,45,"Savino, Michael",,Fr
3,Adelphi,47,"Scarano, Ryan",,Fr
3,Adelphi,17,"Sciara, Joseph",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303366.0,So
3,Adelphi,37,"Serviss, Nathan",,Fr
3,Adelphi,21,"Spitzer, Luke",,Fr
3,Adelphi,24,"Starke, Patrick",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445577.0,Fr
3,Adelphi,46,"Stavis, Cory",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445583.0,Fr
3,Adelphi,23,"Tuttle, Salvatore",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445576.0,Fr
3,Adelphi,16,"Watson, Nick",/player?game_sport_year_ctl_id=11380&stats_player_seq=1445573.0,Sr
3,Adelphi,4,"Worker, Kenneth",/player?game_sport_year_ctl_id=11380&stats_player_seq=1303374.0,Sr
4,Adrian,12,"Adamson, Coady",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321457.0,Sr
4,Adrian,33,"Aldini, Lido",/player?game_sport_year_ctl_id=11380&stats_player_seq=1199956.0,Jr
4,Adrian,26,"Badalamenti, Frank",/player?game_sport_year_ctl_id=11380&stats_player_seq=1443222.0,N/A
4,Adrian,15,"Boyd, Doug",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321458.0,So
4,Adrian,12,"Brunk, Colton",/player?game_sport_year_ctl_id=11380&stats_player_seq=1443220.0,N/A
4,Adrian,37,"Burgin, Mitch",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321464.0,So
4,Adrian,44,"Burke, Andy",/player?game_sport_year_ctl_id=11380&stats_player_seq=1199957.0,Jr
4,Adrian,37,"Byrne, Scott",/player?game_sport_year_ctl_id=11380&stats_player_seq=1448039.0,N/A
4,Adrian,16,"Carroll, Nathan",/player?game_sport_year_ctl_id=11380&stats_player_seq=1443221.0,N/A
4,Adrian,21,"Cook, Chase",/player?game_sport_year_ctl_id=11380&stats_player_seq=1087481.0,Sr
4,Adrian,20,"Dailey-Chwalibog, Drake",/player?game_sport_year_ctl_id=11380&stats_player_seq=1199958.0,Jr
4,Adrian,24,"Desveaux, Matt",/player?game_sport_year_ctl_id=11380&stats_player_seq=1448038.0,N/A
4,Adrian,14,"Frontczak, Nicholas",/player?game_sport_year_ctl_id=11380&stats_player_seq=1199959.0,Jr
4,Adrian,10,"Gilbert, Jesse",/player?game_sport_year_ctl_id=11380&stats_player_seq=1447008.0,N/A
4,Adrian,2,"Hamilton, Matthew",/player?game_sport_year_ctl_id=11380&stats_player_seq=1087488.0,Sr
4,Adrian,16,"Hoggarth, Kyle",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321459.0,So
4,Adrian,3,"Hudzinski, John",/player?game_sport_year_ctl_id=11380&stats_player_seq=1087478.0,Sr
4,Adrian,40,"Joeseph, Tyler",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321463.0,So
4,Adrian,17,"Kilcoyne, Cody",/player?game_sport_year_ctl_id=11380&stats_player_seq=1321460.0,Jr
4,Adrian,42,"Kozlowski, Zach",/player?game_sport_year_ctl_id=11380&stats_player_seq=1443224.0,N/A
4,Adrian,11,"Lerg, Kevin",/player?game_sport_year_ctl_id=11380&stats_player_seq=1199961.0,Jr
4,Adrian,4,"Levanti, Nick",/player?game_sport_year_ctl_id=11380&stats_player_seq=1448037.0,N/A
