BEGIN
SET
         team         | h_div |  site   |                  opp                  | v_div | t_score | o_score 
                      |       |         |                   Frostburg St.       |       |         | 
 Marywood             |     3 | home    | %                                    +|     3 |    7.34 |    5.52
                      |       |         |                   Morrisville St.     |       |         | 
 Massachusetts        |     1 | home    | %                                    +|     1 |   10.51 |    9.07
                      |       |         |                   Penn St.            |       |         | 
 Mass.-Dartmouth      |     3 | home    | %                                    +|     3 |    7.83 |   10.24
                      |       |         |                   Nichols             |       |         | 
 Mercer               |     1 | home    | %                                    +|     1 |    7.36 |   14.16
                      |       |         |                   High Point          |       |         | 
 Merrimack            |     2 | home    | %                                    +|     2 |   12.88 |    8.98
                      |       |         |                   Pace                |       |         | 
 Methodist            |     3 | home    | %                                    +|     3 |   10.03 |   13.50
                      |       |         |                   Hope                |       |         | 
 Middlebury           |     3 | home    | %                                    +|     3 |   10.72 |    9.89
                      |       |         |                   Wesleyan (CT)       |       |         | 
 Misericordia         |     3 | home    | %                                    +|     3 |   19.01 |    6.52
                      |       |         |                   Immaculata          |       |         | 
 Mount Olive          |     2 | home    | %                                    +|     2 |   20.33 |    5.75
                      |       |         |                   North Greenville    |       |         | 
 Mount Union          |     3 | home    | %                                    +|     3 |    9.30 |   11.29
                      |       |         |                   Thiel               |       |         | 
 Mt. St. Vincent      |     3 | home    | %                                    +|     3 |   11.03 |   12.60
                      |       |         |                   Bard                |       |         | 
 Muhlenberg           |     3 | home    | %                                    +|     3 |   14.89 |    5.82
                      |       |         |                   Lycoming            |       |         | 
 Navy                 |     1 | home    | %                                    +|     1 |    9.92 |    7.45
                      |       |         |                   Lehigh              |       |         | 
 Norwich              |     3 | home    | %                                    +|     3 |    7.24 |    8.48
                      |       |         |                   Albertus Magnus     |       |         | 
 NYIT                 |     2 | home    | %                                    +|     2 |   17.69 |    5.73
                      |       |         |                   Dowling             |       |         | 
 Ohio St.             |     1 | home    | %                                    +|     1 |    7.54 |    9.00
                      |       |         |                   Denver              |       |         | 
 Ohio Valley          |     2 | home    | %                                    +|     2 |    6.62 |   11.18
                      |       |         |                   Walsh               |       |         | 
 Ohio Wesleyan        |     3 | home    | %                                    +|     3 |   12.59 |    6.21
                      |       |         |                   Oberlin             |       |         | 
 Penn                 |     1 | home    | %                                    +|     1 |   12.73 |   13.61
                      |       |         |                   Princeton           |       |         | 
 Piedmont             |     3 | neutral | %                                    +|     3 |    8.82 |   11.53
                      |       |         |                   Wesley              |       |         | 
 Post                 |     2 | home    | %                                    +|     2 |   13.82 |    7.37
                      |       |         |                   Notre Dame de Namur |       |         | 
 Queens (NC)          |     2 | home    | %                                    +|     2 |   11.85 |    9.02
                      |       |         |                   Brevard             |       |         | 
 Randolph-Macon       |     3 | home    | %                                    +|     3 |    7.91 |   13.00
                      |       |         |                   Roanoke             |       |         | 
 Richard Stockton     |     3 | home    | %                                    +|     3 |    9.66 |    7.34
                      |       |         |                   DeSales             |       |         | 
 Richmond             |     1 | home    | %                                    +|     1 |    9.21 |   11.87
                      |       |         |                   North Carolina      |       |         | 
 Rivier               |     3 | home    | %                                    +|     3 |   11.98 |    5.69
                      |       |         |                   Mount Ida           |       |         | 
 Roberts Wesleyan     |     2 | home    | %                                    +|     2 |   10.78 |    5.27
                      |       |         |                   Dominican (NY)      |       |         | 
 Roger Williams       |     3 | home    | %                                    +|     3 |    7.60 |    7.23
                      |       |         |                   Babson              |       |         | 
 Rollins              |     2 | home    | %                                    +|     2 |    9.55 |    9.90
                      |       |         |                   Fla. Southern       |       |         | 
 Sacred Heart         |     1 | home    | %                                    +|     1 |   10.74 |   10.28
                      |       |         |                   Vermont             |       |         | 
 Salem St.            |     3 | home    | %                                    +|     3 |    7.65 |   12.09
                      |       |         |                   Daniel Webster      |       |         | 
 Sewanee              |     3 | home    | %                                    +|     3 |   10.46 |    7.20
                      |       |         |                   Centre              |       |         | 
 Shenandoah           |     3 | home    | %                                    +|     3 |    6.91 |    8.93
                      |       |         |                   Hampden-Sydney      |       |         | 
 Shorter              |     2 | home    | %                                    +|     2 |   10.69 |   11.06
                      |       |         |                   Wingate             |       |         | 
 Siena                |     1 | home    | %                                    +|     1 |   10.71 |    8.79
                      |       |         |                   Quinnipiac          |       |         | 
 Skidmore             |     3 | home    | %                                    +|     3 |    6.66 |    9.84
                      |       |         |                   Clark (MA)          |       |         | 
 Southern Me.         |     3 | home    | %                                    +|     3 |   17.31 |    8.18
                      |       |         |                   New England Col.    |       |         | 
 Southwestern (TX)    |     3 | home    | %                                    +|     3 |    8.65 |    9.12
                      |       |         |                   Wentworth           |       |         | 
 Springfield          |     3 | home    | %                                    +|     3 |   10.20 |   14.68
                      |       |         |                   Union (NY)          |       |         | 
 St. Anselm           |     2 | home    | %                                    +|     2 |    5.34 |   17.25
                      |       |         |                   Adelphi             |       |         | 
 St. Johns (NY)       |     1 | home    | %                                    +|     1 |   10.50 |    8.93
                      |       |         |                   Drexel              |       |         | 
 St. Josephs          |     1 | home    | %                                    +|     1 |   10.39 |    9.11
                      |       |         |                   Michigan            |       |         | 
 St. Josephs (ME)     |     3 | home    | %                                    +|     3 |    9.71 |    3.81
                      |       |         |                   Anna Maria          |       |         | 
 St. Leo              |     2 | home    | %                                    +|     2 |    9.43 |   10.49
                      |       |         |                   Florida Tech        |       |         | 
