BEGIN
SET
    date    |  site   |        home         | div | score |         away         | div | score 
 2016-03-30 | home    | Bethany (WV)        | D3  |  7.58 | La Roche             | D3  | 14.70
 2016-04-02 | home    | Boston U.           | D1  | 10.62 | Lehigh               | D1  | 10.02
 2016-04-02 | home    | Bowdoin             | D3  | 14.75 | Trinity (CT)         | D3  |  8.56
 2016-03-29 | home    | Bowdoin             | D3  | 15.68 | Babson               | D3  |  7.30
 2016-03-30 | home    | Bridgewater (VA)    | D3  |  8.12 | Catholic             | D3  | 11.64
 2016-04-02 | home    | Bridgewater (VA)    | D3  |  8.73 | Randolph-Macon       | D3  |  7.58
 2016-04-02 | home    | Brockport           | D3  | 10.57 | SUNY Cortland        | D3  |  9.67
 2016-04-02 | home    | Brown               | D1  | 21.79 | Princeton            | D1  |  8.28
 2016-03-30 | home    | Bryn Athyn          | D3  |  9.23 | Delaware Valley      | D3  |  7.52
 2016-04-02 | home    | Cabrini             | D3  | 25.40 | Keystone             | D3  |  3.46
 2016-03-30 | home    | Cabrini             | D3  | 29.00 | Neumann              | D3  |  3.56
 2016-03-30 | home    | Calvin              | D3  | 12.13 | Benedictine (IL)     | D3  | 15.15
 2016-04-02 | home    | Canisius            | D1  |  9.75 | Monmouth             | D1  |  7.83
 2016-03-30 | home    | Carroll (WI)        | D3  |  9.34 | Concordia Chicago    | D3  |  6.18
 2016-04-02 | home    | Carroll (WI)        | D3  |  6.89 | Calvin               | D3  | 15.47
 2016-04-02 | home    | Carthage            | D3  |  7.22 | Williams             | D3  | 10.27
 2016-03-29 | home    | Castleton           | D3  | 13.73 | SUNY Canton          | D3  |  7.50
 2016-03-29 | home    | Cazenovia           | D3  |  8.52 | Mt. St. Mary (NY)    | D3  | 14.35
 2016-04-02 | home    | Centenary (NJ)      | D3  | 20.23 | Neumann              | D3  |  5.46
 2016-03-30 | home    | Centenary (NJ)      | D3  | 16.77 | Rosemont             | D3  |  6.56
 2016-03-30 | home    | Chris. Newport      | D3  |  9.97 | Mary Washington      | D3  |  7.26
 2016-04-02 | home    | Clark (MA)          | D3  | 10.40 | Wheaton (MA)         | D3  |  6.68
 2016-03-30 | home    | Clark (MA)          | D3  | 13.87 | Plymouth St.         | D3  |  7.88
 2016-04-02 | home    | Clarkson            | D3  | 10.04 | Union (NY)           | D3  | 11.54
 2016-04-02 | home    | Coast Guard         | D3  | 12.01 | MIT                  | D3  | 10.51
 2016-04-02 | home    | Cobleskill St.      | D3  |  6.09 | Hilbert              | D3  |  8.95
 2016-03-30 | home    | Coker               | D2  |  9.84 | Catawba              | D2  | 11.88
 2016-04-02 | home    | Colby               | D3  |  6.86 | Wesleyan (CT)        | D3  | 10.08
 2016-03-30 | home    | Colby               | D3  |  9.17 | Keene St.            | D3  | 12.26
 2016-04-03 | home    | Colgate             | D1  |  6.61 | Loyola Maryland      | D1  |  8.59
 2016-04-03 | home    | Colorado Col.       | D3  | 10.17 | Carthage             | D3  |  7.46
 2016-03-30 | home    | Colorado Col.       | D3  | 11.55 | Williams             | D3  | 13.26
 2016-04-01 | home    | Colorado Mesa       | D2  | 12.93 | Rockhurst            | D2  |  8.22
 2016-03-31 | home    | Colorado Mesa       | D2  | 20.20 | Notre Dame de Namur  | D2  |  6.33
 2016-04-01 | home    | Colorado St.-Pueblo | D2  | 18.99 | Notre Dame de Namur  | D2  | 11.90
 2016-04-02 | home    | Concordia Chicago   | D3  |  3.59 | Augustana (IL)       | D3  | 17.31
 2016-03-29 | home    | Connecticut Col.    | D3  | 12.19 | Emmanuel (MA)        | D3  |  5.06
 2016-03-29 | home    | Cornell College     | D3  |  9.20 | Ill. Wesleyan        | D3  | 20.30
 2016-04-02 | home    | Curry               | D3  | 11.02 | Salve Regina         | D3  |  6.83
 2016-03-29 | home    | Daniel Webster      | D3  |  8.37 | Nichols              | D3  | 11.49
 2016-04-02 | home    | Daniel Webster      | D3  | 12.93 | Wheelock             | D3  |  5.74
 2016-04-02 | home    | Dartmouth           | D1  |  6.03 | Cornell              | D1  | 10.14
 2016-04-03 | home    | Davis & Elkins      | D2  |  7.17 | Ala.-Huntsville      | D2  | 10.45
 2016-04-02 | home    | Delaware            | D1  |  7.05 | Massachusetts        | D1  | 11.06
 2016-04-02 | home    | Detroit             | D1  |  9.59 | Siena                | D1  |  8.45
 2016-03-30 | home    | Dickinson           | D3  | 14.56 | McDaniel             | D3  |  4.81
 2016-04-02 | home    | Dist. Columbia      | D2  |  8.46 | Dowling              | D2  | 16.91
 2016-04-02 | home    | Dominican (NY)      | D2  |  7.62 | Chestnut Hill        | D2  | 12.69
 2016-04-02 | home    | Drew                | D3  |  5.37 | Catholic             | D3  |  9.82
 2016-04-01 | home    | Duke                | D1  | 14.41 | North Carolina       | D1  | 12.18
 2016-04-02 | home    | Eastern Conn. St.   | D3  | 10.47 | Southern Me.         | D3  |  9.18
 2016-03-30 | home    | Eastern Conn. St.   | D3  |  8.07 | Wheaton (MA)         | D3  |  7.19
 2016-04-02 | home    | Elizabethtown       | D3  | 13.92 | Merchant Marine      | D3  |  8.72
