BEGIN
SET
       team        | h_div |  site   |        opp        | v_div | t_score | o_score 
-------------------+-------+---------+-------------------+-------+---------+---------
 Air Force         |     1 | neutral | Loyola Maryland   |     1 |    9.00 |   11.46
 Albright          |     3 | home    | Gwynedd-Mercy     |     3 |   12.82 |   10.32
 Amherst           |     3 | neutral | Bowdoin           |     3 |   11.29 |    8.13
 Army              |     1 | home    | Lehigh            |     1 |    8.10 |    9.69
 Aurora            |     3 | home    | Hanover           |     3 |   16.89 |    5.67
 Babson            |     3 | neutral | Colorado Col.     |     3 |    8.60 |   10.37
 Bates             |     3 | home    | Wesleyan (CT)     |     3 |    7.44 |   10.55
 Bellarmine        |     1 | home    | Mercer            |     1 |   11.78 |    5.88
 Belmont Abbey     |     2 | home    | Queens (NC)       |     2 |    7.96 |    9.19
 Beloit            |     3 | home    | DePauw            |     3 |   14.58 |    7.27
 Benedictine (IL)  |     3 | neutral | Trine             |     3 |   11.37 |    9.04
 Bethany (WV)      |     3 | home    | Hiram             |     3 |    6.71 |   12.48
 Binghamton        |     1 | home    | Manhattan         |     1 |    8.94 |    5.18
 Brockport         |     3 | home    | Elmira            |     3 |    8.81 |    6.30
 Brown             |     1 | home    | Harvard           |     1 |   12.32 |    7.66
 Bryant            |     1 | home    | Albany (NY)       |     1 |   10.84 |   13.45
 Cabrini           |     3 | home    | SUNY Cortland     |     3 |    8.18 |    9.96
 Carthage          |     3 | home    | Mt. St. Joseph    |     3 |   17.22 |    5.08
 Castleton         |     3 | home    | Plymouth St.      |     3 |    7.57 |   15.37
 Cazenovia         |     3 | home    | Houghton          |     3 |   18.77 |   11.06
 Centenary (NJ)    |     3 | home    | Penn St.-Abington |     3 |   39.56 |    3.01
 Clark (MA)        |     3 | home    | Mass.-Boston      |     3 |   14.37 |    7.09
 Clarkson          |     3 | home    | SUNY Geneseo      |     3 |    9.10 |    6.57
 Connecticut Col.  |     3 | home    | Middlebury        |     3 |   10.97 |   14.53
 C.W. Post         |     2 | home    | Roberts Wesleyan  |     2 |   11.80 |    6.30
 Daniel Webster    |     3 | home    | Becker            |     3 |   11.94 |    7.36
 Defiance          |     3 | home    | Olivet            |     3 |    3.18 |   26.10
 Delaware          |     1 | home    | Hofstra           |     1 |    7.09 |   10.49
 Denver            |     1 | neutral | Notre Dame        |     1 |   10.33 |   10.65
