BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2002 |   1 |   1 |  351 |  351 |   54 |   756
 2002 |   1 |   2 |    3 |    2 |    0 |     5
 2002 |   1 |   3 |    1 |    3 |    0 |     4
 2002 |   2 |   2 |  147 |  147 |   14 |   308
 2002 |   2 |   3 |   14 |   18 |    3 |    35
 2002 |   3 |   3 |  685 |  685 |   76 |  1446
 2003 |   1 |   1 |  381 |  381 |   36 |   798
 2003 |   1 |   2 |    1 |    0 |    0 |     1
 2003 |   1 |   3 |    2 |    1 |    0 |     3
 2003 |   2 |   2 |  127 |  127 |   12 |   266
 2003 |   2 |   3 |   12 |   17 |    2 |    31
 2003 |   3 |   3 |  684 |  684 |   96 |  1464
 2004 |   1 |   1 |  366 |  366 |   62 |   794
 2004 |   1 |   2 |    3 |    0 |    0 |     3
 2004 |   1 |   3 |    1 |    1 |    0 |     2
 2004 |   2 |   2 |  158 |  158 |   18 |   334
 2004 |   2 |   3 |   13 |   12 |    1 |    26
 2004 |   3 |   3 |  774 |  774 |   80 |  1628
 2005 |   1 |   1 |  365 |  365 |   68 |   798
 2005 |   1 |   2 |    7 |    1 |    1 |     9
 2005 |   1 |   3 |    4 |    0 |    0 |     4
 2005 |   2 |   2 |  154 |  154 |   22 |   330
 2005 |   2 |   3 |    5 |   11 |    0 |    16
 2005 |   3 |   3 |  815 |  815 |  106 |  1736
 2006 |   1 |   1 |  373 |  373 |   60 |   806
 2006 |   1 |   2 |    2 |    0 |    0 |     2
 2006 |   1 |   3 |    0 |    1 |    0 |     1
 2006 |   2 |   2 |  188 |  188 |    6 |   382
 2006 |   2 |   3 |    5 |   12 |    0 |    17
 2006 |   3 |   3 |  875 |  875 |  132 |  1882
 2007 |   1 |   1 |  381 |  381 |   72 |   834
 2007 |   1 |   2 |    5 |    0 |    0 |     5
 2007 |   1 |   3 |    0 |    1 |    0 |     1
 2007 |   2 |   2 |  179 |  179 |   24 |   382
 2007 |   2 |   3 |    5 |    4 |    1 |    10
 2007 |   3 |   3 |  939 |  939 |  132 |  2010
 2008 |   1 |   1 |  377 |  377 |   88 |   842
 2008 |   1 |   2 |    1 |    1 |    0 |     2
 2008 |   2 |   2 |  185 |  185 |   20 |   390
 2008 |   2 |   3 |    7 |    2 |    0 |     9
 2008 |   3 |   3 | 1012 | 1012 |  144 |  2168
 2009 |   1 |   1 |  406 |  406 |   74 |   886
 2009 |   1 |   2 |    0 |    1 |    0 |     1
 2009 |   2 |   2 |  231 |  231 |   24 |   486
 2009 |   2 |   3 |   10 |    4 |    0 |    14
 2009 |   3 |   3 | 1053 | 1053 |  126 |  2232
 2010 |   1 |   1 |  406 |  406 |   80 |   892
 2010 |   2 |   2 |  229 |  229 |   22 |   480
 2010 |   2 |   3 |   11 |    6 |    0 |    17
 2010 |   3 |   3 | 1132 | 1132 |  166 |  2430
 2011 |   1 |   1 |  419 |  419 |   74 |   912
 2011 |   1 |   3 |    1 |    0 |    0 |     1
 2011 |   2 |   2 |  249 |  249 |   32 |   530
 2011 |   2 |   3 |    8 |    8 |    0 |    16
 2011 |   3 |   3 | 1235 | 1235 |  146 |  2616
 2012 |   1 |   1 |  414 |  414 |   82 |   910
 2012 |   2 |   2 |  290 |  290 |   32 |   612
 2012 |   2 |   3 |    8 |    2 |    2 |    12
 2012 |   3 |   3 | 1367 | 1367 |  148 |  2882
 2013 |   1 |   1 |  434 |  434 |   84 |   952
 2013 |   1 |   2 |    1 |    0 |    0 |     1
 2013 |   2 |   2 |  335 |  335 |   40 |   710
 2013 |   2 |   3 |   15 |    3 |    0 |    18
 2013 |   3 |   3 | 1455 | 1455 |  184 |  3094
 2014 |   1 |   1 |  460 |  460 |  102 |  1022
 2014 |   2 |   2 |  361 |  361 |   56 |   778
 2014 |   2 |   3 |    9 |   10 |    0 |    19
 2014 |   3 |   3 | 1573 | 1573 |  166 |  3312
 2015 |   1 |   1 |  478 |  478 |   82 |  1038
 2015 |   2 |   2 |  397 |  397 |   52 |   846
 2015 |   2 |   3 |   10 |    9 |    1 |    20
 2015 |   3 |   3 | 1643 | 1643 |  144 |  3430
 2016 |   1 |   1 |  470 |  470 |  114 |  1054
 2016 |   2 |   2 |  439 |  439 |   72 |   950
 2016 |   2 |   3 |    4 |    6 |    1 |    11
 2016 |   3 |   3 | 1709 | 1709 |  206 |  3624
 2017 |   1 |   1 |  490 |  490 |   74 |  1054
 2017 |   1 |   2 |    1 |    4 |    0 |     5
 2017 |   1 |   3 |    4 |    0 |    0 |     4
 2017 |   2 |   2 |  444 |  444 |   74 |   962
 2017 |   2 |   3 |    5 |    7 |    0 |    12
 2017 |   3 |   3 | 1765 | 1765 |  162 |  3692
 2018 |   1 |   1 |  480 |  480 |  104 |  1064
 2018 |   1 |   2 |    2 |    3 |    0 |     5
 2018 |   1 |   3 |    2 |    1 |    0 |     3
 2018 |   2 |   2 |  501 |  501 |   38 |  1040
 2018 |   2 |   3 |    3 |    6 |    0 |     9
 2018 |   3 |   3 | 1819 | 1819 |  166 |  3804
(88 rows)

COMMIT
