date,site,home,e_p,away,e_p,win,lose,tie
2015-06-28,home,Boston,13.3,Chesapeake,12.4,0.526,0.396,0.078
2015-06-28,home,Rochester,12.8,Ohio,12.5,0.486,0.434,0.080
