rd,name,p
2,Bryant,0.628
2,Monmouth,0.372
3,Maryland,0.905
3,Denver,0.794
3,Albany (NY),0.785
3,Notre Dame,0.780
3,Penn State,0.671
3,Duke,0.599
3,Syracuse,0.584
3,Ohio State,0.543
3,Loyola Maryland,0.457
3,Yale,0.416
3,Johns Hopkins,0.401
3,Towson,0.329
3,Marquette,0.220
3,North Carolina,0.215
3,Air Force,0.206
3,Bryant,0.065
3,Monmouth,0.031
4,Denver,0.493
4,Maryland,0.483
4,Albany (NY),0.428
4,Notre Dame,0.369
4,Duke,0.354
4,Penn State,0.340
4,Syracuse,0.304
4,Ohio State,0.252
4,Loyola Maryland,0.229
4,Yale,0.218
4,Johns Hopkins,0.165
4,Towson,0.137
4,Air Force,0.082
4,North Carolina,0.074
4,Marquette,0.056
4,Bryant,0.010
4,Monmouth,0.004
5,Maryland,0.293
5,Albany (NY),0.265
5,Duke,0.239
5,Denver,0.230
5,Notre Dame,0.147
5,Ohio State,0.143
5,Loyola Maryland,0.140
5,Penn State,0.138
5,Syracuse,0.123
5,Yale,0.088
5,Johns Hopkins,0.082
5,Towson,0.046
5,North Carolina,0.031
5,Air Force,0.021
5,Marquette,0.011
5,Bryant,0.002
5,Monmouth,0.001
6,Maryland,0.185
6,Albany (NY),0.171
6,Denver,0.136
6,Duke,0.125
6,Notre Dame,0.075
6,Loyola Maryland,0.063
6,Ohio State,0.059
6,Penn State,0.048
6,Syracuse,0.043
6,Yale,0.031
6,Johns Hopkins,0.028
6,North Carolina,0.013
6,Towson,0.013
6,Air Force,0.007
6,Marquette,0.003
6,Bryant,0.001
6,Monmouth,0.000
