year,round_id,seed,division_id,team_id,team_name,bracket,p
2015,1,1,3,168,SUNY Cortland,"{1,1,1,1,1,1,1}",1.0
2015,1,4,3,40,Augustana (IL),"{4,3,2,1,1,1,1}",1.0
2015,1,2,3,452,Mount Union,"{6,5,3,2,1,1,1}",1.0
2015,1,3,3,124,Catholic,"{8,7,4,2,1,1,1}",1.0
2015,1,1,3,258,Gettysburg,"{10,9,5,3,2,1,1}",1.0
2015,1,4,3,815,York (PA),"{13,11,6,3,2,1,1}",1.0
2015,1,2,3,420,Middlebury,"{15,13,7,4,2,1,1}",1.0
2015,1,6,3,267,Hamilton,"{19,16,8,4,2,1,1}",1.0
2015,1,1,3,713,Trinity (CT),"{20,17,9,5,3,2,1}",1.0
2015,1,4,3,549,Pomona-Pitzer,"{23,19,10,5,3,2,1}",1.0
2015,1,2,3,69,Bowdoin,"{25,21,11,6,3,2,1}",1.0
2015,1,3,3,712,TCNJ,"{28,23,12,6,3,2,1}",1.0
2015,1,1,3,239,Frank. & Marsh.,"{30,25,13,7,4,2,1}",1.0
2015,1,5,3,717,Tufts,"{34,28,14,7,4,2,1}",1.0
2015,1,2,3,242,Fredonia,"{35,29,15,8,4,2,1}",1.0
2015,1,3,3,752,Wash. & Lee,"{37,31,16,8,4,2,1}",1.0
