year,round_id,seed,division_id,team_id,team_name,bracket,p
2015,1,1,3,580,Rochester Inst.,"{1,1,1,1,1,1}",1.0
2015,1,16,3,30067,Morrisville St.,"{2,1,1,1,1,1}",1.0
2015,1,8,3,727,Union (NY),"{3,2,1,1,1,1}",1.0
2015,1,9,3,461,Nazareth,"{4,2,1,1,1,1}",1.0
2015,1,5,3,8981,Endicott,"{5,3,2,1,1,1}",1.0
2015,1,12,3,154,Colorado Col.,"{6,3,2,1,1,1}",1.0
2015,1,4,3,168,SUNY Cortland,"{7,4,2,1,1,1}",1.0
2015,1,13,3,673,Springfield,"{8,4,2,1,1,1}",1.0
2015,1,3,3,24,Amherst,"{9,5,3,2,1,1}",1.0
2015,1,14,3,123,Castleton,"{10,5,3,2,1,1}",1.0
2015,1,6,3,420,Middlebury,"{11,6,3,2,1,1}",1.0
2015,1,11,3,442,Montclair St.,"{12,6,3,2,1,1}",1.0
2015,1,7,3,50,Bates,"{13,7,4,2,1,1}",1.0
2015,1,10,3,330,Keene St.,"{14,7,4,2,1,1}",1.0
2015,1,2,3,717,Tufts,"{15,8,4,2,1,1}",1.0
2015,1,15,3,215,Emmanuel (MA),"{16,8,4,2,1,1}",1.0
2015,1,1,3,258,Gettysburg,"{17,9,5,3,2,1}",1.0
2015,1,16,3,124,Catholic,"{18,9,5,3,2,1}",1.0
2015,1,8,3,88,Cabrini,"{19,10,5,3,2,1}",1.0
2015,1,9,3,730,Ursinus,"{20,10,5,3,2,1}",1.0
2015,1,5,3,40,Augustana (IL),"{21,11,6,3,2,1}",1.0
2015,1,12,3,15,Albion,"{22,11,6,3,2,1}",1.0
2015,1,4,3,520,Ohio Wesleyan,"{23,12,6,3,2,1}",1.0
2015,1,13,3,121,Carthage,"{24,12,6,3,2,1}",1.0
2015,1,3,3,21852,Stevenson,"{25,13,7,4,2,1}",1.0
2015,1,14,3,8968,Eastern,"{26,13,7,4,2,1}",1.0
2015,1,6,3,622,Salisbury,"{27,14,7,4,2,1}",1.0
2015,1,11,3,578,Roanoke,"{28,14,7,4,2,1}",1.0
2015,1,7,3,531,Otterbein,"{29,15,8,4,2,1}",1.0
2015,1,10,3,42,Aurora,"{30,15,8,4,2,1}",1.0
2015,1,2,3,374,Lynchburg,"{31,16,8,4,2,1}",1.0
2015,1,15,3,652,Sewanee,"{32,16,8,4,2,1}",1.0
