BEGIN
SET
       team        | h_div |  site   |        opp        | v_div | t_score | o_score 
-------------------+-------+---------+-------------------+-------+---------+---------
 Adelphi           |     2 | home    | NYIT              |     2 |     8.5 |    10.1
 Albion            |     3 | home    | Concordia (WI)    |     3 |    12.6 |     6.6
 Alderson-Broaddus |     2 | home    | Mercy             |     2 |     5.7 |    12.6
 Augustana (IL)    |     3 | home    | Hendrix           |     3 |    13.4 |     7.4
 Bellarmine        |     1 | home    | Air Force         |     1 |     9.0 |     7.5
 Benedictine (IL)  |     3 | home    | Mt. St. Joseph    |     3 |    10.6 |     4.7
 Bentley           |     2 | home    | LIU Post          |     2 |     7.2 |     8.6
 Birmingham-So.    |     3 | neutral | St. John Fisher   |     3 |    10.0 |    11.7
 Brown             |     1 | home    | Saint Joseph's    |     1 |     7.8 |     4.2
 Bucknell          |     1 | home    | Massachusetts     |     1 |     8.0 |     9.2
 Canisius          |     1 | home    | Albany (NY)       |     1 |    10.9 |    14.1
 Clark (MA)        |     3 | neutral | Wittenberg        |     3 |    13.2 |    10.7
 Clarkson          |     3 | home    | Brockport         |     3 |     8.1 |     6.5
 Colgate           |     1 | home    | Holy Cross        |     1 |    11.7 |     9.5
 Colorado Col.     |     3 | home    | Trine             |     3 |    16.8 |     6.2
 Dallas            |     3 | home    | Regis (MA)        |     3 |     9.2 |     8.2
 Dartmouth         |     1 | home    | Robert Morris     |     1 |     9.9 |    11.0
 Delaware          |     1 | home    | Binghamton        |     1 |     5.7 |     7.2
 Dickinson         |     3 | home    | Roanoke           |     3 |    13.6 |     7.1
 Dowling           |     2 | home    | Assumption        |     2 |     8.1 |     4.2
 Drexel            |     1 | home    | Bryant            |     1 |    14.2 |     8.8
 Duke              |     1 | home    | Loyola Maryland   |     1 |    11.2 |    12.8
 Eastern Conn. St. |     3 | home    | Endicott          |     3 |     8.1 |     7.9
 Ferrum            |     3 | home    | Hampden-Sydney    |     3 |     7.0 |    10.7
 Florida Tech      |     2 | home    | Mount Olive       |     2 |    13.2 |     9.0
 Franciscan        |     3 | home    | Thiel             |     3 |     7.5 |    19.1
 Frostburg St.     |     3 | home    | Aurora            |     3 |    12.6 |     7.8
 Gettysburg        |     3 | home    | Lynchburg         |     3 |     7.9 |     7.0
 Greensboro        |     3 | home    | Sewanee           |     3 |     7.9 |     8.7
 Guilford          |     3 | home    | Merchant Marine   |     3 |     9.1 |     6.0
 Hanover           |     3 | home    | Bethany (WV)      |     3 |    13.2 |     4.6
 Hartwick          |     3 | home    | Farmingdale St.   |     3 |    16.0 |     3.9
 Harvard           |     1 | home    | Georgetown        |     1 |    10.8 |     7.4
 Haverford         |     3 | home    | Denison           |     3 |     6.7 |    17.0
 Hendrix           |     3 | neutral | Hope              |     3 |     9.2 |    11.5
 Hobart            |     1 | home    | Michigan          |     1 |    14.6 |     6.8
 Hood              |     3 | home    | Neumann           |     3 |     6.1 |     6.3
 Immaculata        |     3 | home    | Lebanon Valley    |     3 |     6.0 |    15.7
 Jacksonville      |     1 | home    | Marquette         |     1 |     7.8 |    10.2
 Johns Hopkins     |     1 | home    | UMBC              |     1 |    15.9 |     8.2
 Kean              |     3 | home    | Lasell            |     3 |    14.6 |    12.3
