year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2016	12380	929	Adams St.	50	1639197.0	Amell, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639197.0	So	14	13
2016	12380	929	Adams St.	25		Baron, Drew		Fr	0	0
2016	12380	929	Adams St.	16	1773107.0	Beck, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773107.0	Fr	10	0
2016	12380	929	Adams St.	11	1442537.0	Bill, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1442537.0	Jr	14	13
2016	12380	929	Adams St.	12	1639180.0	Brydson, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639180.0	So	13	0
2016	12380	929	Adams St.	26		Campbell, Keaton		Fr	0	0
2016	12380	929	Adams St.	13		Carter, Benjamin		Fr	0	0
2016	12380	929	Adams St.	22		Caward, Sam		Fr	0	0
2016	12380	929	Adams St.	37	1639185.0	Chitwood, Garrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639185.0	So	14	14
2016	12380	929	Adams St.	30	1773125.0	Clinton, Nik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773125.0	Fr	14	14
2016	12380	929	Adams St.	8		Coleman, Jarred		Sr	0	0
2016	12380	929	Adams St.	33	1639181.0	Cranfield, Collin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639181.0	So	14	0
2016	12380	929	Adams St.	7	1639202.0	Culley, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639202.0	So	8	1
2016	12380	929	Adams St.	56	1639200.0	Davis, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639200.0	So	2	0
2016	12380	929	Adams St.	36		Gilliland, Zachary		Fr	0	0
2016	12380	929	Adams St.	32		Hauck, Dakota		Fr	0	0
2016	12380	929	Adams St.	28	1773124.0	Janes, Kage	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773124.0	Fr	14	3
2016	12380	929	Adams St.	35	1773129.0	Johnson, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773129.0	Fr	14	14
2016	12380	929	Adams St.	51	1773133.0	Kelly, Colton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773133.0	Fr	11	1
2016	12380	929	Adams St.	10	1773105.0	Kerigan, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773105.0	Sr	14	9
2016	12380	929	Adams St.	57	1639201.0	Koenig, Alan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1639201.0	Sr	11	0
2016	12380	929	Adams St.	44	1773132.0	Krieble, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1773132.0	Fr	12	1
