sport_code	year
MLA	2018
MLA	2017
MLA	2016
MLA	2015
MLA	2014
MLA	2013
MLA	2012
MLA	2011
MLA	2010
MLA	2009
MLA	2008
MLA	2007
MLA	2006
MLA	2005
MLA	2004
MLA	2003
MLA	2002
MLA	2001
MLA	2000
MLA	1999
MLA	1998
MLA	1997
MLA	1996
MLA	1995
MLA	1994
MLA	1993
MLA	1992
MLA	1991
MLA	1990
MLA	1989
MLA	1988
MLA	1987
MLA	1986
MLA	1985
MLA	1984
MLA	1983
MLA	1982
MLA	1981
MLA	1980
MLA	1979
MLA	1978
MLA	1977
MLA	1976
MLA	1975
MLA	1974
MLA	1973
MLA	1972
MLA	1971
MLA	1970
MLA	1969
MLA	1968
MLA	1967
MLA	1966
MLA	1965
MLA	1964
MLA	1963
MLA	1962
MLA	1961
MLA	1960
MLA	1959
MLA	1958
MLA	1957
MLA	1956
MLA	1955
MLA	1954
MLA	1953
MLA	1952
MLA	1951
MLA	1950
MLA	1949
MLA	1948
MLA	1947
MLA	1946
MLA	1945
MLA	1944
MLA	1943
MLA	1942
MLA	1941
MLA	1940
MLA	1939
MLA	1938
MLA	1937
MLA	1936
MLA	1935
MLA	1934
MLA	1933
MLA	1932
MLA	1931
MLA	1930
MLA	1929
MLA	1928
MLA	1927
MLA	1926
MLA	1925
MLA	1924
MLA	1923
MLA	1922
MLA	1921
MLA	1920
MLA	1919
MLA	1918
MLA	1917
MLA	1916
MLA	1915
MLA	1914
MLA	1913
MLA	1912
MLA	1911
MLA	1910
MLA	1909
MLA	1908
MLA	1907
MLA	1906
MLA	1905
MLA	1904
MLA	1903
MLA	1902
MLA	1901
MLA	1900
MLA	1899
MLA	1898
MLA	1897
MLA	1896
MLA	1895
MLA	1894
MLA	1893
MLA	1892
MLA	1891
MLA	1890
MLA	1889
MLA	1888
MLA	1887
MLA	1886
MLA	1885
MLA	1884
MLA	1883
