year	year_id	team_id	team_name	position	player_id	player_name	player_url	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2016	12380	4	Adrian	22	1656301	Turner, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656301	So	15	15	15	15	18	16	34	58	0.310	36	0.621	2	3		25	43	3																	
2016	12380	4	Adrian	37	1656303	Desmadryl, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656303	So	15	13	15	13			0	3		1	0.333				25	15	7				9	420												
2016	12380	4	Adrian	23	1321458	Boyd, Doug	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1321458	Sr	15	14	15	14	32	21	53	119	0.269	77	0.647		4		40	35	12				9	510												
2016	12380	4	Adrian	33	1656302	Stewart, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656302	So	15	15	15	15			0								20	21	10				8	420												
2016	12380	4	Adrian	4	1549591	Schmitt, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1549591	Jr	15	15	15	15	7	6	13	34	0.206	19	0.559		3		68	19	22	13	52	0.250	18	1,020												
2016	12380	4	Adrian	10	1777566	Hudson, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1777566	Sr	15	14	15	14		1	1	6		3	0.500				53	17	11	113	336	0.336	1	60												
2016	12380	4	Adrian	44	1549600	Scherer, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1549600	Jr	15	2	15	2	6	3	9	33	0.182	18	0.545		2	1	21	22	3				4	210												
2016	12380	4	Adrian	32	1448870	Waldrup, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1448870	Sr	15	5	15	5	36	8	44	143	0.252	89	0.622		6		40	54	2				7	330												
2016	12380	4	Adrian	35	1549599	Farrelly, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1549599	Sr	14	14	14	14			0								32	13	2				3	240	14	14	48,373	213	15.852	193	0.475					
2016	12380	4	Adrian	5	1776746	Redden, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776746	Fr	14	0	14		8	5	13	31	0.258	15	0.484		1		12	11					1	60												
