year	year_id	team_id	team_name	position	player_id	player_name	player_url	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	929	Adams St.	6	1639169	Schwartz, Paxton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639169	Fr	9	0	9				0								12	2					1	60												
2015	12121	929	Adams St.	29	1639178	Voelkel, Conner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639178	Fr	9	4	9	4			0								2	1					1	60												
2015	12121	929	Adams St.	58	1639202	Culley, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639202	Fr	8	1	8	1			0								2	2					2	120												
2015	12121	929	Adams St.	39	1639187	Bagatti, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639187	Fr	8	7	8	7	10	2	12	33	0.303	17	0.515	1	1		3	4					8	420												
2015	12121	929	Adams St.	49	1639194	Graf, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639194	Fr	8	0	8				0								2	1		4	17	0.235	1	30												
2015	12121	929	Adams St.	48	1639193	Leung, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639193	Fr	7	0	7				0	3		2	0.667				1	5	1																	
2015	12121	929	Adams St.	47	1639192	Quatrochi, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639192	Fr	6	1	6	1			0								8			18	53	0.340														
2015	12121	929	Adams St.	8	1325922	Coleman, Jarred	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1325922	Sr	6	3	6	3			0																											
2015	12121	929	Adams St.	18	1639173	Bechtel, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639173	Fr	6	2	6	2	1		1	1	1.000	1	1.000				1	2																		
2015	12121	929	Adams St.	57	1639201	Koenig, Alan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639201	Jr	2	0	2				0																											
2015	12121	929	Adams St.	56	1639200	Davis, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639200	Fr	2	0	2				0														1	60												
2015	12121	929	Adams St.	17	1549215	Koons, Jakob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1549215	So	2	1	2	1			0								1																			
2015	12121	929	Adams St.	38	1639186	Long, Colton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639186	Fr	1	0	1		1		1	1	1.000	1	1.000			1		1																		
2015	12121	929	Adams St.	54	1639198	Schneider, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639198	Fr	1	0	1				0																											
2015	12121	929	Adams St.	50	1549229	Guenther, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1549229	Jr	1	1	1	1	1	1	2	2	0.500	1	0.500				1																			
2015	12121	929	Adams St.	51	1639195	Moon, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639195	Fr	1	0	1				0																											
2015	12121	929	Adams St.	55	1639199	Leung, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1639199	Fr	1	0	1				0																											
2015	12121	3	Adelphi	23	1445576	Tuttle, Salvatore	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1445576	Jr	18	18	18	18	50	35	85	216	0.231	121	0.560	2	10	1	54	35	12				7	360												
2015	12121	3	Adelphi	21	1446851	Spitzer, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1446851	Jr	18	17	18	17	6	3	9	16	0.375	12	0.750				63	12	14				3	150												
2015	12121	3	Adelphi	3	1529563	Daly, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529563	Sr	18	1	18	1	20	10	30	81	0.247	49	0.605	2	5		16	16	3				2	90												
2015	12121	3	Adelphi	5	1529565	Faiella, Ralph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529565	So	18	1	18	1	2	4	6	14	0.143	11	0.786	1			40	14	21				3	180												
2015	12121	3	Adelphi	14	1663627	Bentz, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663627	N/A	18	0	18		6	6	12	19	0.316	10	0.526				7	12					4	210												
2015	12121	3	Adelphi	7	1663623	Racalbuto, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663623	N/A	18	0	18		13	5	18	40	0.325	25	0.625				7	5	2				1	60												
2015	12121	3	Adelphi	10	1663624	DeLuca, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663624	N/A	18	0	18		12	2	14	26	0.462	20	0.769	1			5	6	3																	
2015	12121	3	Adelphi	16	1663629	English, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663629	N/A	18	17	18	17	2	1	3	2	1.000	2	1.000				133	12	1	331	481	0.688	2	60												
2015	12121	3	Adelphi	11	1663625	Gomes, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663625	N/A	18	0	18		4	3	7	15	0.267	9	0.600				25	9	8				4	210												
2015	12121	3	Adelphi	9	1529567	Susko, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529567	Sr	18	17	18	17	38	28	66	83	0.458	58	0.699	2	3		12	20	6				3	120												
2015	12121	3	Adelphi	55	1663636	Cutrone, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663636	N/A	17	9	17	9	12	14	26	36	0.333	22	0.611		3		14	18	3				3	150												
2015	12121	3	Adelphi	27	1303351	McAndrew, Jamie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1303351	Sr	17	0	17		27	12	39	77	0.351	44	0.571	2			17	16	1																	
2015	12121	3	Adelphi	24	1445577	Starke, Patrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1445577	Jr	17	2	17	2	6	1	7	21	0.286	13	0.619				24	15	2				8	300												
2015	12121	3	Adelphi	46	1445583	Stavis, Cory	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1445583	Jr	17	10	17	10	11	11	22	36	0.306	23	0.639	1			23	11	2				6	330												
2015	12121	3	Adelphi	4	1529564	McCann, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529564	Sr	17	17	17	17			0	1		1	1.000				25	8	11				5	240												
2015	12121	3	Adelphi	33	1529572	Duddy, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529572	Sr	17	1	17	1	28	14	42	73	0.384	44	0.603	3	7		9	7	1				1	60												
2015	12121	3	Adelphi	35	1529573	Mauro, DJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529573	Sr	17	8	17	8			0	1							20	11							17	8	43,427	98	8.124	132	0.574					
2015	12121	3	Adelphi	32	1445580	Giardina, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1445580	Jr	16	16	16	16	1	3	4	3	0.333	3	1.000				47	12	28				15	660												
2015	12121	3	Adelphi	22	1663630	Catalanotti, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663630	N/A	16	15	16	15			0								34	6	8				1	60												
2015	12121	3	Adelphi	17	1303366	Sciara, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1303366	Sr	15	14	15	14	13	1	14	27	0.481	20	0.741	1		1	51	9	18				6	270												
2015	12121	3	Adelphi	26	1529570	Hinchy, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529570	Sr	14	1	14	1		1	1	2		2	1.000				11	5	3				9	540												
2015	12121	3	Adelphi	25	1446852	Moritt, Bryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1446852	Jr	13	3	13	3			0								10		5				2	120												
2015	12121	3	Adelphi	40	1663633	Wahl, Travis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663633	N/A	13	1	13	1	6		6	17	0.353	12	0.706		1		3	5	1				1	30												
2015	12121	3	Adelphi	13	1663626	Catalano, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663626	N/A	12	0	12		3	3	6	15	0.200	6	0.400				4	2	1																	
2015	12121	3	Adelphi	0	1303352	McGrath, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1303352	Sr	12	10	12	10			0								5	3							12	10	20,501	55	9.658	62	0.530					
2015	12121	3	Adelphi	45	1446859	Savino, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1446859	Jr	11	0	11				0								2						2	90												
2015	12121	3	Adelphi	44	1529577	Creegan, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529577	Sr	9	0	9		1		1	2	0.500	2	1.000					4	1																	
2015	12121	3	Adelphi	8	1446850	Cropsey, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1446850	Jr	9	0	9		5	3	8	7	0.714	6	0.857				4	2					1	60												
2015	12121	3	Adelphi	29	1446853	Beckwith, Stephen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1446853	Jr	8	0	8		3	1	4	10	0.300	7	0.700			1	1	2																		
2015	12121	3	Adelphi	50	1303355	Oswald, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1303355	Sr	7	0	7				0	1							2	1	1																	
2015	12121	3	Adelphi	34	1663632	Schlosser, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663632	N/A	7	0	7				0	2		1	0.500				7	3	3																	
2015	12121	3	Adelphi	31	1663631	Dluginski, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663631	N/A	7	0	7		1		1	4	0.250	2	0.500				2	4																		
2015	12121	3	Adelphi	1	1529561	Mott, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529561	So	7	2	7	2			0								4	2	2				4	180												
2015	12121	3	Adelphi	2	1529562	McCann, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529562	Sr	6	0	6				0	2		1	0.500				1																			
2015	12121	3	Adelphi	6	1529566	Badaracco, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529566	So	6	0	6				0	1							2								5		1,281	7	19.672	2	0.222					
2015	12121	3	Adelphi	15	1663628	Locicero, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663628	N/A	6	0	6				0	2							1	2					2	90												
2015	12121	3	Adelphi	41	1663634	Cuttitta, Louis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663634	N/A	5	0	5				0	4		2	0.500					3																		
2015	12121	3	Adelphi	36	1529574	Artus, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1529574	So	4	0	4				0								2																			
