year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2017	12561	1	721	Air Force	3	1778205	Abrams, Marcus	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1778205	""	Fr	0	0
2017	12561	1	721	Air Force	41	1538723	Accardi, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1538723	""	Sr	17	16
2017	12561	1	721	Air Force	51	1538724	Albyn, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1538724	""	Sr	4	0
2017	12561	1	721	Air Force	26	1428715	Allen, Christopher	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1428715	""	Sr	0	0
2017	12561	1	721	Air Force	41	1774454	Alvino, Ernie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1774454	""	Fr	0	0
2017	12561	1	721	Air Force	19	1538725	Anigian, Barrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1538725	""	Sr	9	0
2017	12561	1	721	Air Force	39	1778208	Baker, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1778208	""	Fr	0	0
2017	12561	1	721	Air Force	22	1879175	Boyer, Paxton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1879175	G	N/A	12	9
2017	12561	1	721	Air Force	29	1538727	Carr, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1538727	""	Sr	0	0
2017	12561	1	721	Air Force	35	1765668	Carter, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1765668	A	Fr	18	14
2017	12561	1	721	Air Force	9	1879172	Cox, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1879172	""	N/A	9	0
2017	12561	1	721	Air Force	48	1892355	Dunstan, Chet	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1892355	""	Fr	11	0
2017	12561	1	721	Air Force	38	1765669	Ekpenyong, Malik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12561&stats_player_seq=1765669	""	Fr	0	0
