year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2010	10301	1	721	Air Force	28	1085449.0	Adams, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=1085449.0	Jr	0	0
2010	10301	1	721	Air Force	41	880038.0	Beath, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=880038.0	Jr	13	4
2010	10301	1	721	Air Force	40	1095930.0	Boyle, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=1095930.0	So	7	2
2010	10301	1	721	Air Force	1	880030.0	Carroll, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=880030.0	Jr	13	13
2010	10301	1	721	Air Force	18	880034.0	Costa, Andrew	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=880034.0	Jr	8	0
2010	10301	1	721	Air Force	15	1085445.0	Cullen, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=1085445.0	Fr	7	0
2010	10301	1	721	Air Force	42	773186.0	Curran, Jimmy	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=773186.0	Sr	13	12
2010	10301	1	721	Air Force	37	986058.0	DeBonis, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=986058.0	So	13	0
2010	10301	1	721	Air Force	24	1095929.0	Demmel, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=1095929.0	So	1	0
2010	10301	1	721	Air Force	21	880035.0	Duenes, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=880035.0	Jr	11	0
2010	10301	1	721	Air Force	11	773176.0	Flick, Ridge	http://stats.ncaa.org/player?game_sport_year_ctl_id=10301&stats_player_seq=773176.0	Sr	13	13
