year	year_id	team_id	team_name	position	player_name	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	929	Adams St.	-	TEAM	-	-	-	9				0								1	29					1	30												
2015	12121	929	Adams St.	-	Totals	-	-	-	15		154	59	213	526	0.293	289	0.549	4	21	3	330	230	55	155	418	0.371	63	3,480			53,992	220	14.669	152	0.409			242	281	0.861
2015	12121	929	Adams St.	-	Opponent Totals	-	-	-	15		220	126	346	681	0.323	372	0.546	11	23	1	483	228	83	263	418	0.629	61	2,970			54,892	154	10.100	135	0.467			212	258	0.822
2015	12121	3	Adelphi	-	TEAM	-	-	-	9				0									11					2	60												
2015	12121	3	Adelphi	-	Totals	-	-	-	18		270	161	431	857	0.315	528	0.616	15	29	3	689	303	161	331	481	0.688	97	4,680			65,209	160	8.833	196	0.551			312	370	0.843
2015	12121	3	Adelphi	-	Opponent Totals	-	-	-	18		160	74	234	626	0.256	356	0.569	3	23	3	532	333	126	150	481	0.312	72	4,230			65,209	270	14.906	258	0.489			315	392	0.804
2015	12121	934	Alderson Broaddus	-	TEAM	-	-	-	5													2					1	30												
2015	12121	934	Alderson Broaddus	-	Totals	-	-	-	13		106	63	169	408	0.260	247	0.605	4	22	1	350	281	97	147	319	0.461	75	3,780			46,878	178	13.670	151	0.459			182	242	0.752
2015	12121	934	Alderson Broaddus	-	Opponent Totals	-	-	-	13		178	99	277	529	0.336	329	0.622	9	24	4	396	239	130	173	318	0.544	72	3,690			46,878	106	8.140	141	0.571			199	240	0.829
2015	12121	22	American Int'l	-	TEAM	-	-	-	10												2	26		1	1	1.000														
2015	12121	22	American Int'l	-	Totals	-	-	-	15		97	50	147	380	0.255	217	0.571	2	20	1	381	341	99	138	363	0.380	61	3,240			54,000	216	14.400	219	0.503			250	324	0.772
2015	12121	22	American Int'l	-	Opponent Totals	-	-	-	15		216	145	361	669	0.323	435	0.650	13	22	4	534	271	145	225	363	0.620	77	3,660			54,000	97	6.467	120	0.553			241	278	0.867
2015	12121	36	Assumption	-	TEAM	-	-	-	6												4	7																		
2015	12121	36	Assumption	-	Totals	-	-	-	17		147	74	221	517	0.284	303	0.586	9	10	2	501	311	83	202	361	0.560	75	3,960			61,304	156	9.161	201	0.563			270	325	0.831
2015	12121	36	Assumption	-	Opponent Totals	-	-	-	17		156	79	235	600	0.260	357	0.595	8	22	1	439	259	115	159	361	0.440	74	3,750			61,304	147	8.632	156	0.515			255	307	0.831
2015	12121	2683	Belmont Abbey	-	TEAM	-	-	-	1													1																		
