sport_code	year	division
MLA	2018	1
MLA	2018	2
MLA	2018	3
MLA	2017	1
MLA	2017	2
MLA	2017	3
MLA	2016	1
MLA	2016	2
MLA	2016	3
MLA	2015	1
MLA	2015	2
MLA	2015	3
MLA	2014	1
MLA	2014	2
MLA	2014	3
MLA	2013	1
MLA	2013	2
MLA	2013	3
MLA	2012	1
MLA	2012	2
MLA	2012	3
MLA	2011	1
MLA	2011	2
MLA	2011	3
MLA	2010	1
MLA	2010	2
MLA	2010	3
MLA	2009	1
MLA	2009	2
MLA	2009	3
MLA	2008	1
MLA	2008	2
MLA	2008	3
MLA	2007	1
MLA	2007	2
MLA	2007	3
MLA	2006	1
MLA	2006	2
MLA	2006	3
MLA	2005	1
MLA	2005	2
MLA	2005	3
MLA	2004	1
MLA	2004	2
MLA	2004	3
MLA	2003	1
MLA	2003	2
MLA	2003	3
MLA	2002	1
MLA	2002	2
MLA	2002	3
