year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2018	13920	1	721	Air Force	41	1774454	Alvino, Ernie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1774454	""	Jr	0	0
2018	13920	1	721	Air Force	39	1778208	Baker, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1778208	""	Jr	3	0
2018	13920	1	721	Air Force	22	1879175	Boyer, Paxton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1879175	G	So	0	0
2018	13920	1	721	Air Force	35	1765668	Carter, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1765668	A	Jr	6	2
2018	13920	1	721	Air Force	26	1975036	Ceshkar, Sterling	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975036	""	Fr	1	0
2018	13920	1	721	Air Force	14	1975072	Chiasson, Mike	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975072	""	Fr	2	0
2018	13920	1	721	Air Force	57		Coleman, Craig		""	Fr	0	0
2018	13920	1	721	Air Force	52	1975039	Coons, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975039	""	So	1	1
2018	13920	1	721	Air Force	9	1879172	Cox, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1879172	""	So	8	2
2018	13920	1	721	Air Force	10	1975071	Devaney, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975071	""	Fr	3	0
2018	13920	1	721	Air Force	48	1892355	Dunstan, Chet	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1892355	""	So	9	2
2018	13920	1	721	Air Force	28	1975073	Ferguson, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975073	""	Fr	2	0
2018	13920	1	721	Air Force	3	1781939	Flynn, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1781939	""	Jr	10	5
2018	13920	1	721	Air Force	11	1656150	Forrest, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656150	""	Sr	9	1
2018	13920	1	721	Air Force	6	1781065	Gillund, Blake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1781065	""	Jr	0	0
2018	13920	1	721	Air Force	1	1656153	Goldstein, Chuck	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656153	""	Sr	0	0
2018	13920	1	721	Air Force	5	1656159	Gould, Grant	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656159	""	Sr	1	0
2018	13920	1	721	Air Force	33	1765667	Harper, Trent	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1765667	""	Jr	10	6
2018	13920	1	721	Air Force	23	1975034	Haughn, Nic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975034	""	Fr	3	0
2018	13920	1	721	Air Force	0	1765666	Hemme, Jeremiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1765666	""	Jr	10	9
2018	13920	1	721	Air Force	40	1896536	Hofmann, Benjamin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1896536	""	So	2	0
2018	13920	1	721	Air Force	19	1975033	Host, Braden	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975033	""	Fr	9	7
2018	13920	1	721	Air Force	21	1656148	Hruby, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656148	""	Sr	10	10
2018	13920	1	721	Air Force	45	1765670	Jones, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1765670	D	Jr	0	0
2018	13920	1	721	Air Force	25	1975035	Kuhn, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975035	""	Fr	6	0
2018	13920	1	721	Air Force	34	1656157	LaVine, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656157	""	Sr	0	0
2018	13920	1	721	Air Force	24	1656154	Larkin, Sheamus	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656154	""	Sr	0	0
2018	13920	1	721	Air Force	55		Lemus, Nick		""	Fr	0	0
2018	13920	1	721	Air Force	20	1879174	Lervick, Trey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1879174	""	Jr	10	6
2018	13920	1	721	Air Force	44	1975077	Lombardi, Vince	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975077	""	Fr	9	6
2018	13920	1	721	Air Force	50	1879176	Lynch, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1879176	""	So	2	0
2018	13920	1	721	Air Force	7	1656149	Matarazzo, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656149	""	Sr	0	0
2018	13920	1	721	Air Force	8	1975070	Matheson, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975070	""	Fr	2	0
2018	13920	1	721	Air Force	32	1975075	O'Rourk, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975075	""	Fr	9	0
2018	13920	1	721	Air Force	17	1975032	Orlando, Gianni	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975032	""	Fr	1	0
2018	13920	1	721	Air Force	16	1879173	Pagano, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1879173	""	So	5	0
2018	13920	1	721	Air Force	27	1783580	Parker, Stephen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1783580	""	Jr	1	0
2018	13920	1	721	Air Force	4	1975041	Peene, Quincy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975041	""	Fr	8	0
2018	13920	1	721	Air Force	56	1975040	Peene, Griffin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975040	""	So	2	0
2018	13920	1	721	Air Force	47	1975078	Place, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975078	""	Fr	1	0
2018	13920	1	721	Air Force	18	1778217	Pung, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1778217	""	Jr	10	10
2018	13920	1	721	Air Force	42	1656160	Radjenovich, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656160	""	Sr	3	0
2018	13920	1	721	Air Force	38		Reichardt, Kevin		""	Fr	0	0
2018	13920	1	721	Air Force	13	1883534	Richbourg, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1883534	""	So	10	3
2018	13920	1	721	Air Force	51	2010434	Rittenhouse, George	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=2010434	""	So	1	0
2018	13920	1	721	Air Force	15	1778206	Rohrbach, Roman	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1778206	""	Jr	10	6
2018	13920	1	721	Air Force	46	1975038	Schwab, Noah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1975038	""	Fr	6	3
2018	13920	1	721	Air Force	26	1883535	Schwartz, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1883535	""	Fr	7	7
2018	13920	1	721	Air Force	30	1656156	Siegel, Craig	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656156	""	Sr	2	0
2018	13920	1	721	Air Force	54	1892466	Szlachetka, Doc	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1892466	""	So	10	10
2018	13920	1	721	Air Force	29	1781938	Taucher, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1781938	""	Jr	0	0
2018	13920	1	721	Air Force	37	1892465	Thornally, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1892465	""	So	4	0
2018	13920	1	721	Air Force	36	1656158	Tien, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=13920&stats_player_seq=1656158	""	Sr	9	4
